[2025-03-13 11:50:29] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:50. (Ipotecă, Client 1, 10 Martie 2025)
[2025-03-13 11:50:40] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:50. (Antecontract (promisiune bilaterală), Client 2, 10 Martie 2025)
[2025-03-13 11:50:53] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:50. (Apartamentare, Client 3, 10 Martie 2025)
[2025-03-13 11:51:12] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:51. (Comodat, Van Damme, 10 Martie 2025)
[2025-03-13 11:51:23] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:51. (Consultație, Steven Seagal, 10 Martie 2025)
[2025-03-13 11:51:34] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:51. (Dezmembrare, Chuck Norris, 10 Martie 2025)
[2025-03-13 11:51:46] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:51. (Dezmembrare + vânzare, Marcus Aurelius, 10 Martie 2025)
[2025-03-13 11:52:04] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:52. (Divorț, Joe Biden, 11 Martie 2025)
[2025-03-13 11:52:13] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:52. (Donație, Donald Trump, 11 Martie 2025)
[2025-03-13 11:52:30] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:52. (Ipotecă, Mike Tyson, 11 Martie 2025)
[2025-03-13 11:52:38] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:52. (Liber, 2, 11 Martie 2025)
[2025-03-13 11:52:55] Ultima intervenție: programare modificată de către Mihai-PC, 13 Martie 2025 09:52. (Liber, 4, 11 Martie 2025)
[2025-03-13 11:53:25] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:53. (Novație, Jean Jaques Jean Jean Jean, 12 Martie 2025)
[2025-03-13 11:53:36] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:53. (Partaj voluntar, Barak Obama, 12 Martie 2025)
[2025-03-13 11:53:45] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:53. (Renunțare drept de Uzufruct, Brad Pitt, 12 Martie 2025)
[2025-03-13 11:53:58] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:53. (Schimb, Mos Craciun, 12 Martie 2025)
[2025-03-13 11:54:12] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:54. (Succesiune, Marlon Brando, 12 Martie 2025)
[2025-03-13 11:54:27] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:54. (Superficie, Brian de Palma, 12 Martie 2025)
[2025-03-13 11:54:36] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:54. (Supliment, Andre the Giant, 12 Martie 2025)
[2025-03-13 11:55:07] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:55. (Testament, Eminem, 13 Martie 2025)
[2025-03-13 11:55:31] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:55. (Vânzare, Klaus Werner Iohannis, 13 Martie 2025)
[2025-03-13 11:55:43] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:55. (Vânzare +Uzufruct viager, Alba ca Zapada, 13 Martie 2025)
[2025-03-13 11:55:53] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:55. (Vânzare Drepturi Succesorale, Regele Charles, 13 Martie 2025)
[2025-03-13 11:56:23] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:56. (Împrumut, Banca Nationala a Romaniei, 13 Martie 2025)
[2025-03-13 11:56:53] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:56. (Încetare contract de Întreținere, nevasta lui Crin Antonescu, 13 Martie 2025)
[2025-03-13 11:57:27] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:57. (Închiriere, John Wayne, 13 Martie 2025)
[2025-03-13 11:57:42] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:57. (Întreținere, Clint Eastwood, 14 Martie 2025)
[2025-03-13 11:57:54] Ultima intervenție: programare creată de către Mihai-PC, 13 Martie 2025 09:57. (Liber, N/A, 14 Martie 2025)
[2025-03-13 11:58:16] Ultima intervenție: programare modificată de către Mihai-PC, 13 Martie 2025 09:58. (Liber, 7, 14 Martie 2025)
